"1001","AA","description","Legislative and Executive Affairs"
"1001","AA","code and description","1001 - Legislative and Executive Affairs"
"1101","AA","description","Financial and Fiscal Affairs"
"1101","AA","code and description","1101 - Financial and Fiscal Affairs"
"1401","AA","description","General Services"
"1401","AA","code and description","1401 - General Services"
"1501","AA","description","Government Superannuation Benefits"
"1501","AA","code and description","1501 - Government Superannuation Benefits"
"1601","AA","description","Defence"
"1601","AA","code and description","1601 - Defence"
"3051","AA","description","Nominal Superannuation Interest (Finance and Defence Only)"
"3051","AA","code and description","3051 - Nominal Superannuation Interest (Finance and Defence Only)"
