"7756","AA","CBMS prog","Financial Management (Finance)"
"7756","AA","CBMS prog and description","7756 - Financial Management (Finance)"
"7756","AA","description","Financial Management (Finance)"
"7756","AA","code and description","7756 - Financial Management (Finance)"
"7756.01","AA","description","Grants in Aid"
"7756.01","AA","code and description","7756.01 - Grants in Aid"
"7756.01","AS","CBMS Level Program","7756"
"7756.02","AA","description","Financial Framework"
"7756.02","AA","code and description","7756.02 - Financial Framework"
"7756.02","AS","CBMS Level Program","7756"
"7756.03","AA","description","Technology Services"
"7756.03","AA","code and description","7756.03 - Technology Services"
"7756.03","AS","CBMS Level Program","7756"
"7756.BAL","AA","code and description","7756.BAL - Balancing"
"7756.BAL","AS","CBMS Level Program","7756"
"7757","AA","CBMS prog","Government Business"
"7757","AA","CBMS prog and description","7757 - Government Business"
"7757","AA","description","Government Business"
"7757","AA","code and description","7757 - Program 2.1: Public Sector Governance - 7757A"
"7757.01","AA","description","Grant in Aid - Australian Institute of Policy and Science"
"7757.01","AA","code and description","7757.01 - Grant in Aid - Australian Institute of Policy and Science"
"7757.01","AS","CBMS Level Program","7757"
"7757.02","AA","description","Grant in Aid - Chifley Research Centre"
"7757.02","AA","code and description","7757.02 - Grant in Aid - Chifley Research Centre"
"7757.02","AS","CBMS Level Program","7757"
"7757.03","AA","description","Grant in Aid - Green Institute"
"7757.03","AA","code and description","7757.03 - Grant in Aid - Green Institute"
"7757.03","AS","CBMS Level Program","7757"
"7757.04","AA","description","Grant in Aid - Menzies Research Centre"
"7757.04","AA","code and description","7757.04 - Grant in Aid - Menzies Research Centre"
"7757.04","AS","CBMS Level Program","7757"
"7757.05","AA","description","Grant in Aid - Page Research Centre"
"7757.05","AA","code and description","7757.05 - Grant in Aid - Page Research Centre"
"7757.05","AS","CBMS Level Program","7757"
"7757.06","AA","description","Grant in Aid - Royal Humane Society of Australasia"
"7757.06","AA","code and description","7757.06 - Grant in Aid - Royal Humane Society of Australasia"
"7757.06","AS","CBMS Level Program","7757"
"7757.07","AA","description","Grant in Aid - RSPCA Australia Inc"
"7757.07","AA","code and description","7757.07 - Grant in Aid - RSPCA Australia Inc"
"7757.07","AS","CBMS Level Program","7757"
"7757.08","AA","description","DHA Borrowings Special Account"
"7757.08","AA","code and description","7757.08 - DHA Borrowings Special Account"
"7757.08","AS","CBMS Level Program","7757"
"7757.BAL","AA","code and description","7757.BAL - Balancing"
"7757.BAL","AS","CBMS Level Program","7757"
"7762","AA","CBMS prog","Public Sector Superannuation - Nominal Interest"
"7762","AA","CBMS prog and description","7762 - Public Sector Superannuation - Nominal Interest"
"7762","AA","code and description","7762"
"7762.01","AA","code and description","7762.01"
"7762.01","AS","CBMS Level Program","7762"
"7763","AA","CBMS prog","Public Sector Superannuation - Benefits"
"7763","AA","CBMS prog and description","7763 - Public Sector Superannuation - Benefits"
"7763","AA","description","Public Sector Superannuation - Benefits"
"7763","AA","code and description","7763 - Program 2.8: Public Sector Superannuation - 7763A"
"7763.01","AA","description","Act of Grace"
"7763.01","AA","code and description","7763.01 - Act of Grace"
"7763.01","AS","CBMS Level Program","7763"
"7763.02","AA","description","Compensation and legal expenses"
"7763.02","AA","code and description","7763.02 - Compensation and legal expenses"
"7763.02","AS","CBMS Level Program","7763"
"7763.03","AA","description","Superannuation administration costs"
"7763.03","AA","code and description","7763.03 - Superannuation administration costs"
"7763.03","AS","CBMS Level Program","7763"
"7763.04","AA","description","Federal Circuit Court of Australia Act 1999"
"7763.04","AA","code and description","7763.04 - Federal Circuit Court of Australia Act 1999"
"7763.04","AS","CBMS Level Program","7763"
"7763.05","AA","description","Governance of Australian Government Superannuation Schemes Act 2011"
"7763.05","AA","code and description","7763.05 - Governance of Australian Government Superannuation Schemes Act 2011"
"7763.05","AS","CBMS Level Program","7763"
"7763.06","AA","description","Governor-General Act 1974"
"7763.06","AA","code and description","7763.06 - Governor-General Act 1974"
