"-","AA","code and description","No_interagency"
"-","AA","description","Related Entity - Unallocated"
"-","AA","CBMS","No Related Entity"
"10000","AA","code and description","10000 - DOS"
"10000","AA","description","DOS"
"10100","AA","code and description","10100 - DHOR"
"10100","AA","description","DHOR"
"10500","AS","MA_Related Entity Template","X"
"10500","AA","code and description","10500 - AG"
"10500","AA","description","AG"
"10800","AS","MA_Related Entity Template","X"
"10800","AA","code and description","10800 - AFP"
"10800","AA","description","AFP"
"11000","AA","code and description","11000 - AUSTRAC"
"11000","AA","description","AUSTRAC"
"11100","AA","code and description","11100 - FAMC"
"11100","AA","description","FAMC"
"11200","AA","code and description","11200 - FEDCA"
"11200","AA","description","FEDCA"
"11300","AA","code and description","11300 - AHRC"
"11300","AA","description","AHRC"
"11400","AA","code and description","11400 - ACIC"
"11400","AA","description","ACIC"
"11600","AA","code and description","11600 - OPC"
"11600","AA","description","OPC"
"11700","AS","MA_Related Entity Template","X"
"11700","AA","code and description","11700 - DPP"
"11700","AA","description","DPP"
"12000","AS","MA_Related Entity Template","X"
"12000","AA","code and description","12000 - DCITA"
"12000","AA","description","DCITA"
"12100","AS","MA_Related Entity Template","X"
"12100","AA","code and description","12100 - NAA"
"12100","AA","description","NAA"
"12200","AS","MA_Related Entity Template","X"
"12200","AA","code and description","12200 - DEFENCE"
"12200","AA","description","DEFENCE"
"12300","AS","MA_Related Entity Template","X"
"12300","AA","code and description","12300 - DVA"
"12300","AA","description","DVA"
"12400","AS","MA_Related Entity Template","X"
"12400","AA","code and description","12400 - DEST"
"12400","AA","description","DEST"
"12500","AS","MA_Related Entity Template","X"
"12500","AA","code and description","12500 - DAFF"
"12500","AA","description","DAFF"
"12600","AS","MA_Related Entity Template","X"
"12600","AA","code and description","12600 - FINANCE"
"12600","AA","description","FINANCE"
"12700","AS","MA_Related Entity Template","X"
"12700","AA","code and description","12700 - AEC"
"12700","AA","description","AEC"
"12800","AS","MA_Related Entity Template","X"
"12800","AA","code and description","12800 - ANAO"
"12800","AA","description","ANAO"
"12900","AS","MA_Related Entity Template","X"
"12900","AA","code and description","12900 - Old Comsuper"
"12900","AA","description","Old Comsuper"
"13200","AS","MA_Related Entity Template","X"
"13200","AA","code and description","13200 - DFAT"
"13200","AA","description","DFAT"
"13300","AA","code and description","13300 - AusAID"
"13300","AA","description","AusAID"
