"6100001","AA","description","Cash at beginning of year"
"6100001","AA","code and description","6100001 - Cash at beginning of year"
"6100002","AA","description","Effect of exchange rate fluctuations"
"6100002","AA","code and description","6100002 - Effect of exchange rate fluctuations"
"6205100","AA","description","Cash surplus / (deficit)"
"6205100","AA","code and description","6205100 - Cash surplus / (deficit)"
"6205102","AA","description","Finance leases and similar arrangements"
"6205102","AA","code and description","6205102 - Finance leases and similar arrangements"
"6211001","AA","description","Taxes received"
"6211001","AA","code and description","6211001 - Taxes received"
"6211002","AA","description","Sale of goods and rendering of services"
"6211002","AA","code and description","6211002 - Sale of goods and rendering of services"
"6211003","AA","description","Interest receipts"
"6211003","AA","code and description","6211003 - Interest receipts"
"6211004","AA","description","Dividends and income tax equivalents"
"6211004","AA","code and description","6211004 - Dividends and income tax equivalents"
"6211005","AA","description","Receipts from government"
"6211005","AA","code and description","6211005 - Receipts from government"
"6211006","AA","description","Appropriations from the Official Public Account"
"6211006","AA","code and description","6211006 - Appropriations from the Official Public Account"
"6211007","AA","description","Cash from the Official Public Account"
"6211007","AA","code and description","6211007 - Cash from the Official Public Account"
"6211008","AA","description","Cash from Agencies (Finance only)"
"6211008","AA","code and description","6211008 - Cash from Agencies (Finance only)"
"6211009","AA","description","Subsidy receipts"
"6211009","AA","code and description","6211009 - Subsidy receipts"
"6211010","AA","description","Net GST received"
"6211010","AA","code and description","6211010 - Net GST received"
"6211011","AA","description","GST receipts from customers"
"6211011","AA","code and description","6211011 - GST receipts from customers"
"6211012","AA","description","Interest receipts on derivatives"
"6211012","AA","code and description","6211012 - Interest receipts on derivatives"
"6211013","AA","description","Fund transfers received"
"6211013","AA","code and description","6211013 - Fund transfers received"
"6211098","AA","description","Other operating receipts"
"6211098","AA","code and description","6211098 - Other operating receipts"
"6212001","AA","description","Income taxes paid"
"6212001","AA","code and description","6212001 - Income taxes paid"
"6212002","AA","description","Payments for wages and salaries"
"6212002","AA","code and description","6212002 - Payments for wages and salaries"
"6212003","AA","description","Payments to suppliers"
"6212003","AA","code and description","6212003 - Payments to suppliers"
"6212004","AA","description","Subsidies paid"
"6212004","AA","code and description","6212004 - Subsidies paid"
"6212005","AA","description","Personal benefits paid - direct"
"6212005","AA","code and description","6212005 - Personal benefits paid - direct"
"6212006","AA","description","Grant payments"
"6212006","AA","code and description","6212006 - Grant payments"
"6212007","AA","description","Borrowing and other financing costs"
"6212007","AA","code and description","6212007 - Borrowing and other financing costs"
"6212008","AA","description","Cash to the Official Public Account"
"6212008","AA","code and description","6212008 - Cash to the Official Public Account"
"6212009","AA","description","Cash to Agencies (Finance only)"
"6212009","AA","code and description","6212009 - Cash to Agencies (Finance only)"
"6212010","AA","description","Net GST paid"
"6212010","AA","code and description","6212010 - Net GST paid"
"6212011","AA","description","GST Payments to Suppliers"
"6212011","AA","code and description","6212011 - GST Payments to Suppliers"
"6212012","AA","description","Interest payments on derivatives"
"6212012","AA","code and description","6212012 - Interest payments on derivatives"
"6212013","AA","description","Payments to Corporate entities"
"6212013","AA","code and description","6212013 - Payments to Corporate entities"
"6212014","AA","description","Lease liability - Interest payments"
"6212014","AA","code and description","6212014 - Lease liability - Interest payments"
"6212021","AA","description","Other employee payments"
"6212021","AA","code and description","6212021 - Other employee payments"
"6212041","AA","description","GST on grants"
"6212041","AA","code and description","6212041 - GST on grants"
"6212051","AA","description","Personal benefits paid - indirect"
"6212051","AA","code and description","6212051 - Personal benefits paid - indirect"
"6212098","AA","description","Other operating payments"
"6212098","AA","code and description","6212098 - Other operating payments"
"6221101","AA","description","Proceeds from sales of non-financial assets"
"6221101","AA","code and description","6221101 - Proceeds from sales of non-financial assets"
"6221102","AA","description","Proceeds from asset sales program"
"6221102","AA","code and description","6221102 - Proceeds from asset sales program"
"6221198","AA","description","Other investing receipts"
"6221198","AA","code and description","6221198 - Other investing receipts"
"6221201","AA","description","Purchases of non-financial assets"
"6221201","AA","code and description","6221201 - Purchases of non-financial assets"
"6221298","AA","description","Other investing payments"
"6221298","AA","code and description","6221298 - Other investing payments"
"6222109","AA","description","Repayments of advances and loans"
"6222109","AA","code and description","6222109 - Repayments of advances and loans"
"6222114","AA","description","Proceeds from sale of investments"
"6222114","AA","code and description","6222114 - Proceeds from sale of investments"
"6222120","AA","description","Other investing cash receipts for policy purposes"
"6222120","AA","code and description","6222120 - Other investing cash receipts for policy purposes"
"6222206","AA","description","Advances and loans made"
"6222206","AA","code and description","6222206 - Advances and loans made"
"6222211","AA","description","Purchase of investments"
"6222211","AA","code and description","6222211 - Purchase of investments"
"6222220","AA","description","Other investing cash payments for policy purposes"
"6222220","AA","code and description","6222220 - Other investing cash payments for policy purposes"
"6231001","AA","description","Net cash received from issue of currency"
"6231001","AA","code and description","6231001 - Net cash received from issue of currency"
"6231003","AA","description","Cash received from borrowings"
"6231003","AA","code and description","6231003 - Cash received from borrowings"
"6231008","AA","description","Net deposits taken"
"6231008","AA","code and description","6231008 - Net deposits taken"
"6231009","AA","description","Cash received due to restructuring"
"6231009","AA","code and description","6231009 - Cash received due to restructuring"
"6231010","AA","description","Contributed equity (6231010)"
"6231010","AA","code and description","6231010 - Contributed equity"
"6231011","AA","description","Loans from Finance - cash received"
"6231011","AA","code and description","6231011 - Loans from Finance - cash received"
"6231013","AA","description","Cash received - Finance Leases"
"6231013","AA","code and description","6231013 - Cash received - Finance Leases"
"6231098","AA","description","Other financing receipts"
"6231098","AA","code and description","6231098 - Other financing receipts"
"6232001","AA","description","Dividends paid"
"6232001","AA","code and description","6232001 - Dividends paid"
"6232003","AA","description","Repayment of borrowings"
"6232003","AA","code and description","6232003 - Repayment of borrowings"
"6232004","AA","description","Other financing payments"
"6232004","AA","code and description","6232004 - Other financing payments"
"6232007","AA","description","Finance lease payments"
"6232007","AA","code and description","6232007 - Finance lease payments"
"6232008","AA","description","Return of contributed equity"
"6232008","AA","code and description","6232008 - Return of contributed equity"
"6232009","AA","description","Cash transferred due to restructuring"
"6232009","AA","code and description","6232009 - Cash transferred due to restructuring"
"6232010","AA","description","Lease liability - principal Payments"
"6232010","AA","code and description","6232010 - Lease liability - principal Payments"
"6232011","AA","description","Return of contributed equity (non-corporates)"
"6232011","AA","code and description","6232011 - Return of contributed equity (non-corporates)"
"6800001","AA","description","Offsetting non-cash items"
"6800001","AA","code and description","6800001 - Offsetting non-cash items"
"6800002","AA","description","Revaluations - Non-Financial Assets"
"6800002","AA","code and description","6800002 - Revaluations - Non-Financial Assets"
"6800003","AA","description","Asset/Liability Transfers"
"6800003","AA","code and description","6800003 - Asset/Liability Transfers"
"6900001","AA","description","Foreign Exchange"
"6900001","AA","code and description","6900001 - Foreign Exchange"
"6900002","AA","description","Account impacts requiring manual adjustment in cash flow"
"6900002","AA","code and description","6900002 - Account impacts requiring manual adjustment in cash flow"
"6900003","AA","description","Net Attribution"
"6900003","AA","code and description","6900003 - Net Attribution"
"9000701","AA","description","Underlying cash balance HLI"
"9000701","AA","code and description","9000701 - Underlying cash balance HLI"
"9000702","AA","description","Fiscal balance HLI"
"9000702","AA","code and description","9000702 - Fiscal balance HLI"
