"1111001","AA","code and description","1111001 - Income Tax - Gross income tax withholding"
"1111001","AA","description","Income Tax - Gross income tax withholding"
"1111002","AA","code and description","1111002 - Income Tax - Gross other individuals"
"1111002","AA","description","Income Tax - Gross other individuals"
"1111004","AA","code and description","1111004 - Income Tax - Medicare levy"
"1111004","AA","description","Income Tax - Medicare levy"
"1111006","AA","code and description","1111006 - Income Tax - Individuals' refunds"
"1111006","AA","description","Income Tax - Individuals' refunds"
"1112002","AA","code and description","1112002 - Income Tax - Company tax"
"1112002","AA","description","Income Tax - Company tax"
"1112004","AA","code and description","1112004 - Income Tax - Superannuation Funds"
"1112004","AA","description","Income Tax - Superannuation Funds"
"1112010","AA","code and description","1112010 - Income Tax - Companies' Refunds"
"1112010","AA","description","Income Tax - Companies' Refunds"
"1112012","AA","code and description","1112012 - Income Tax - Petroleum resource rent tax"
"1112012","AA","description","Income Tax - Petroleum resource rent tax"
"1112014","AA","code and description","1112014 - Income Tax - Superannuation Surcharge"
"1112014","AA","description","Income Tax - Superannuation Surcharge"
"1113002","AA","code and description","1113002 - Income Tax - Superannuation Refunds"
"1113002","AA","description","Income Tax - Superannuation Refunds"
"1114002","AA","code and description","1114002 - Income Tax - Surcharge Refunds"
"1114002","AA","description","Income Tax - Surcharge Refunds"
"1115002","AA","code and description","1115002 - Income Tax - PRRT Refunds"
"1115002","AA","description","Income Tax - PRRT Refunds"
"1115003","AA","code and description","1115003 - Income Tax - Minerals resource rent tax"
"1115003","AA","description","Income Tax - Minerals resource rent tax"
"1115102","AA","code and description","1115102 - Other Tax - FBT Refunds"
"1115102","AA","description","Other Tax - FBT Refunds"
"1120002","AA","code and description","1120002 - Sales Tax - Other sales tax"
"1120002","AA","description","Sales Tax - Other sales tax"
"1120003","AA","code and description","1120003 - Sales Tax - GST-related non-GIC penalties"
"1120003","AA","description","Sales Tax - GST-related non-GIC penalties"
"1121002","AA","code and description","1121002 - Sales Tax - GST Refunds"
"1121002","AA","description","Sales Tax - GST Refunds"
"1122001","AA","code and description","1122001 - Sales Tax - Luxury car tax"
"1122001","AA","description","Sales Tax - Luxury car tax"
"1122002","AA","code and description","1122002 - Sales Tax - LCT Refunds"
"1122002","AA","description","Sales Tax - LCT Refunds"
"1123001","AA","code and description","1123001 - Sales Tax - Wine equalisation tax"
"1123001","AA","description","Sales Tax - Wine equalisation tax"
"1123002","AA","code and description","1123002 - Sales Tax - WET Refunds"
"1123002","AA","description","Sales Tax - WET Refunds"
"1124002","AA","code and description","1124002 - Sales Tax - WST refunds"
"1124002","AA","description","Sales Tax - WST refunds"
"1130002","AA","code and description","1130002 - Excise Duty - Crude oil"
"1130002","AA","description","Excise Duty - Crude oil"
"1130003","AA","code and description","1130003 - Excise Duty - Petrol"
"1130003","AA","description","Excise Duty - Petrol"
"1130004","AA","code and description","1130004 - Excise Duty - Beer"
"1130004","AA","description","Excise Duty - Beer"
"1130005","AA","code and description","1130005 - Excise Duty - Tobacco"
"1130005","AA","description","Excise Duty - Tobacco"
"1130006","AA","code and description","1130006 - Excise Duty - Potable spirits"
"1130006","AA","description","Excise Duty - Potable spirits"
"1130007","AA","code and description","1130007 - Excise duty - Ready to drink spirits"
"1130007","AA","description","Excise duty - Ready to drink spirits"
"1130008","AA","code and description","1130008 - Excise Duty - Diesel"
"1130008","AA","description","Excise Duty - Diesel"
"1130009","AA","code and description","1130009 - Excise Duty - Other petroleum products"
"1130009","AA","description","Excise Duty - Other petroleum products"
"1130098","AA","code and description","1130098 - Excise Duty - Refunds"
