"A001","AS","CBMS-R Flag","Y"
"A001","AA","code and description","A001 - Ordinary Annual Services of the Government"
"A001","AA","description","Ordinary Annual Services of the Government"
"A001","AA","CBMS-R Code","A001"
"A001","AS","approp item code required","Y"
"A002","AS","CBMS-R Flag","Y"
"A002","AA","code and description","A002 - Other than Ordinary Annual Services of the Government"
"A002","AA","description","Other than Ordinary Annual Services of the Government"
"A002","AA","CBMS-R Code","A002"
"A002","AS","approp item code required","Y"
"A003","AS","CBMS-R Flag","Y"
"A003","AA","code and description","A003 - Expenditure in Relation to the Parliamentary Departments"
"A003","AA","description","Expenditure in Relation to the Parliamentary Departments"
"A003","AA","CBMS-R Code","A003"
"A003","AS","disabled","Y"
"A003","AS","approp item code required","Y"
"A004","AS","CBMS-R Flag","Y"
"A004","AA","code and description","A004 - Advance to the Finance Minister (AFM)"
"A004","AA","description","Advance to the Finance Minister (AFM)"
"A004","AA","CBMS-R Code","A004"
"A004","AS","disabled","Y"
"A004","AS","approp item code required","Y"
"A005","AS","CBMS-R Flag","Y"
"A005","AA","code and description","A005 - Advance to the responsible Presiding Officer (APO)"
"A005","AA","description","Advance to the responsible Presiding Officer (APO)"
"A005","AA","CBMS-R Code","A005"
"A005","AS","disabled","Y"
"A005","AS","approp item code required","Y"
"A006","AS","CBMS-R Flag","Y"
"A006","AA","code and description","A006 - Ordinary Annual Services of the Government - Ad-hoc"
"A006","AA","description","Ordinary Annual Services of the Government - Ad-hoc"
"A006","AA","CBMS-R Code","A006"
"A006","AS","approp item code required","Y"
"A007","AS","CBMS-R Flag","Y"
"A007","AA","code and description","A007 - Other than Ordinary Annual Services of the Government - Ad-hoc"
"A007","AA","description","Other than Ordinary Annual Services of the Government - Ad-hoc"
"A007","AA","CBMS-R Code","A007"
"A007","AS","approp item code required","Y"
"A008","AS","CBMS-R Flag","Y"
"A008","AA","code and description","A008 - Not used"
"A008","AA","description","Not used"
"A008","AA","CBMS-R Code","A008"
"A008","AS","disabled","Y"
"A008","AS","approp item code required","Y"
"A009","AS","CBMS-R Flag","Y"
"A009","AA","code and description","A009 - GST Increase to Appropriations"
"A009","AA","description","GST Increase to Appropriations"
"A009","AA","CBMS-R Code","A009"
"A009","AS","approp item code required","Y"
"A010","AS","CBMS-R Flag","Y"
"A010","AA","code and description","A010 - Nil Appropriation Impact"
"A010","AA","description","Nil Appropriation Impact"
"A010","AA","CBMS-R Code","A010"
"A010","AS","approp item code required","Y"
"Special Appropriation","AS","CBMS-R Flag","Y"
"Special Appropriation","AA","code and description","A100 - Special Appropriation"
"Special Appropriation","AA","description","Special Appropriation"
"Special Appropriation","AA","CBMS-R Code","A100"
"Special Appropriation","AS","approp item code required","Y"
"A200","AS","CBMS-R Flag","Y"
"A200","AA","code and description","A200 - Special Account by Determination"
"A200","AA","description","Special Account by Determination"
"A200","AA","CBMS-R Code","A200"
"A200","AS","approp item code required","Y"
"A300","AS","CBMS-R Flag","Y"
"A300","AA","code and description","A300 - Special Account by Act"
"A300","AA","description","Special Account by Act"
"A300","AA","CBMS-R Code","A300"
"A300","AS","approp item code required","Y"
"Administered Revenue","AA","description","Administered Revenue"
"Administered Revenue","AS","disabled","Y"
"Administered Revenue","AS","approp item code required","Y"
