"00001","AS","use program details","Y"
"00001","AS","title","Standard Administered Accounts"
"00001","AA","description","Standard Administered Accounts"
"00002","AS","title","Standard Departmental Accounts"
"00002","AA","description","00002 - Standard Administered Accounts (Copy of 00001)"
"00003","AS","title","Appropriation Bill 3 Adjustments"
"00003","AA","description","00003 - Standard Administered Accounts (Copy of 00001)"
"00004","AS","title","ADMIN Approp Bill 3 Accounts"
"00004","AA","description","00004 - Standard Administered Accounts (Copy of 00001 - Standard Administered Accounts)"
"00005","AS","title","Departmental capital"
"00006","AS","title","CEFC special account"
"00007","AS","use program details","Y"
"00007","AS","title","Standard SPP Accounts"
