"M00000","AA","CBMS code and description","No Measure"
"M00000","AA","code and description","No Measure"
"M00000","AS","Active","Y"
"M00000","AS","Non-Measure","Y"
"M00000","AS","Funding Life","ongoing"
"M00000","AA","CBMS","No Measure"
"M00001","AS","title","PEFO 2013-14 - SA Health and Biomedical project"
"M00001","AS","Budget Round Created","HL2013-2014"
"M00001","AS","Funding Life","ongoing"
"M00001","AA","CBMS","Q681196E"
"M00002","AS","Termination Year","2014-2015"
"M00002","AS","title","PEFO 2013-14: New Measure - Child Measure - Tasmanian Economic Diversification Projects (Financial Assistance of $600,000 to Office Max) (Former Prime Minister's letter of 16 May 2013)"
"M00002","AS","Budget Round Created","HL2013-2014"
"M00002","AS","Funding Life","terminating"
"M00002","AA","CBMS","Q681655E"
"M00003","AS","Termination Year","2017-2018"
"M00003","AS","title","PEFO 2013-14: New Measure - Bindaree Beef Pty Funding Request (JG13/0331/CAB/2 of 24 June 2013)"
"M00003","AS","Budget Round Created","HL2013-2014"
"M00003","AS","Funding Life","terminating"
"M00003","AA","CBMS","Q682632E"
"M00004","AS","title","PEFO 2013-14 - New Measure - Ford Assistance Package - Victorian Innovation Investment Fund"
"M00004","AS","Budget Round Created","HL2013-2014"
"M00004","AS","Funding Life","ongoing"
"M00004","AA","CBMS","Q682633E"
"M00005","AS","title","PEFO 2013-14 - New Measure - Toyota Major Mid-Cycle Overhaul of the Camry (JG13/0273/CAB/2 of 3 June 2013)"
"M00005","AS","Budget Round Created","HL2013-2014"
"M00005","AS","Funding Life","ongoing"
"M00005","AA","CBMS","Q682634E"
"M00006","AS","Termination Year","2016-2017"
"M00006","AS","title","PEFO 2013-14: New Measure - Ford Assistance Package - Automotive New Markets Program (JG13/0267/ERC of 29 May 2013)"
"M00006","AS","Budget Round Created","HL2013-2014"
"M00006","AS","Funding Life","terminating"
"M00006","AA","CBMS","Q682635E"
"M00007","AS","title","PEFO 2013-14 - New Measure - Toyota Supplier Productivity and Capability Program (JG/0272/CAB/2)"
"M00007","AS","Budget Round Created","HL2013-2014"
"M00007","AS","Funding Life","ongoing"
"M00007","AA","CBMS","Q682636E"
"M00008","AS","Termination Year","2013-2014"
"M00008","AS","title","PEFO 2013-14 Update - New measure - Lowy Institute grant - Announced after the 2013-14 Budget update"
"M00008","AS","Budget Round Created","HL2013-2014"
"M00008","AS","Funding Life","terminating"
"M00008","AA","CBMS","Q684040E"
"M00009","AS","title","PEFO 2013-14: Clean Technology Programs - Reduce and Reprofile Funding (Clean Technology Innovation Program) (Minister Carr's letter to Minister Bowen following ERC)"
"M00009","AS","Budget Round Created","HL2013-2014"
"M00009","AS","Funding Life","ongoing"
"M00009","AA","CBMS","Q684287E"
"M00010","AS","title","MYEFO 12-13 update - O3 - AAIP Alignment Measure -  ADJ600867"
"M00010","AS","Budget Round Created","HL2013-2014"
"M00010","AS","Funding Life","ongoing"
"M00010","AA","CBMS","O591964E"
