"2004-2005","AS","next period","2005-2006"
"2004-2005","AS","type","annual"
"2005-2006","AS","next period","2006-2007"
"2005-2006","AS","previous period","2004-2005"
"2005-2006","AS","type","annual"
"2006-2007","AS","next period","2007-2008"
"2006-2007","AS","previous period","2005-2006"
"2006-2007","AS","type","annual"
"2007-2008","AS","next period","2008-2009"
"2007-2008","AS","previous period","2006-2007"
"2007-2008","AS","type","annual"
"2008-2009","AS","next period","2009-2010"
"2008-2009","AS","previous period","2007-2008"
"2008-2009","AS","type","annual"
"2009-2010","AS","next period","2010-2011"
"2009-2010","AS","previous period","2008-2009"
"2009-2010","AS","type","annual"
"2010-2011","AS","next period","2011-2012"
"2010-2011","AS","previous period","2009-2010"
"2010-2011","AS","type","annual"
"2011-2012","AS","next period","2012-2013"
"2011-2012","AS","previous period","2010-2011"
"2011-2012","AS","type","annual"
"2012-2013","AS","next period","2013-2014"
"2012-2013","AS","previous period","2011-2012"
"2012-2013","AS","type","annual"
"2013-2014","AS","next period","2014-2015"
"2013-2014","AS","previous period","2012-2013"
"2013-2014","AS","type","annual"
"2014-2015","AS","next period","2015-2016"
"2014-2015","AS","previous period","2013-2014"
"2014-2015","AS","type","annual"
"2015-2016","AS","next period","2016-2017"
"2015-2016","AS","previous period","2014-2015"
"2015-2016","AS","type","annual"
"2016-2017","AS","next period","2017-2018"
"2016-2017","AS","previous period","2015-2016"
"2016-2017","AS","type","annual"
"2017-2018","AS","next period","2018-2019"
"2017-2018","AS","previous period","2016-2017"
"2017-2018","AS","type","annual"
"2018-2019","AS","next period","2019-2020"
"2018-2019","AS","previous period","2017-2018"
"2018-2019","AS","type","annual"
"2019-2020","AS","next period","2020-2021"
"2019-2020","AS","previous period","2018-2019"
"2019-2020","AS","type","annual"
"2020-2021","AS","next period","2021-2022"
"2020-2021","AS","previous period","2019-2020"
"2020-2021","AS","type","annual"
"2021-2022","AS","next period","2022-2023"
"2021-2022","AS","previous period","2020-2021"
"2021-2022","AS","type","annual"
"2022-2023","AS","next period","2023-2024"
"2022-2023","AS","previous period","2021-2022"
"2022-2023","AS","type","annual"
"2023-2024","AS","next period","2024-2025"
"2023-2024","AS","previous period","2022-2023"
"2023-2024","AS","type","annual"
"2024-2025","AS","next period","2025-2026"
"2024-2025","AS","previous period","2023-2024"
"2024-2025","AS","type","annual"
"2025-2026","AS","next period","2026-2027"
"2025-2026","AS","previous period","2024-2025"
"2025-2026","AS","type","annual"
"2026-2027","AS","next period","2027-2028"
"2026-2027","AS","previous period","2025-2026"
"2026-2027","AS","type","annual"
"2027-2028","AS","next period","2028-2029"
"2027-2028","AS","previous period","2026-2027"
"2027-2028","AS","type","annual"
"2028-2029","AS","next period","2029-2030"
"2028-2029","AS","previous period","2027-2028"
"2028-2029","AS","type","annual"
"2029-2030","AS","next period","2030-2031"
"2029-2030","AS","previous period","2028-2029"
"2029-2030","AS","type","annual"
"2030-2031","AS","next period","2031-2032"
"2030-2031","AS","previous period","2029-2030"
"2030-2031","AS","type","annual"
"2031-2032","AS","next period","2032-2033"
"2031-2032","AS","previous period","2030-2031"
"2031-2032","AS","type","annual"
"2032-2033","AS","next period","2033-2034"
"2032-2033","AS","previous period","2031-2032"
"2032-2033","AS","type","annual"
"2033-2034","AS","next period","2034-2035"
"2033-2034","AS","previous period","2032-2033"
"2033-2034","AS","type","annual"
"2034-2035","AS","next period","2035-2036"
"2034-2035","AS","previous period","2033-2034"
"2034-2035","AS","type","annual"
"2035-2036","AS","next period","2036-2037"
"2035-2036","AS","previous period","2034-2035"
"2035-2036","AS","type","annual"
"2036-2037","AS","next period","2037-2038"
"2036-2037","AS","previous period","2035-2036"
"2036-2037","AS","type","annual"
"2037-2038","AS","next period","2038-2039"
"2037-2038","AS","previous period","2036-2037"
"2037-2038","AS","type","annual"
"2038-2039","AS","next period","2039-2040"
"2038-2039","AS","previous period","2037-2038"
"2038-2039","AS","type","annual"
"2039-2040","AS","next period","2040-2041"
"2039-2040","AS","previous period","2038-2039"
"2039-2040","AS","type","annual"
"2040-2041","AS","next period","2041-2042"
"2040-2041","AS","previous period","2039-2040"
"2041-2042","AS","next period","2042-2043"
"2041-2042","AS","previous period","2040-2041"
"2042-2043","AS","next period","2043-2044"
"2042-2043","AS","previous period","2041-2042"
"2043-2044","AS","next period","2044-2045"
"2043-2044","AS","previous period","2042-2043"
"2044-2045","AS","next period","2045-2046"
"2044-2045","AS","previous period","2043-2044"
"2045-2046","AS","previous period","2044-2045"
"P0","AA","description","P00"
"Jul","AS","next period","Aug"
"Jul","AS","previous period","P0"
"Jul","AS","type","month"
"Aug","AS","next period","Sep"
"Aug","AS","previous period","Jul"
"Aug","AS","type","month"
"Sep","AS","next period","Oct"
"Sep","AS","previous period","Aug"
"Sep","AS","type","month"
"Oct","AS","next period","Nov"
"Oct","AS","previous period","Sep"
"Oct","AS","type","month"
"Nov","AS","next period","Dec"
"Nov","AS","previous period","Oct"
"Nov","AS","type","month"
"Dec","AS","next period","Jan"
"Dec","AS","previous period","Nov"
"Dec","AS","type","month"
"Jan","AS","next period","Feb"
"Jan","AS","previous period","Dec"
"Jan","AS","type","month"
"Feb","AS","next period","Mar"
"Feb","AS","previous period","Jan"
"Feb","AS","type","month"
"Mar","AS","next period","Apr"
"Mar","AS","previous period","Feb"
"Mar","AS","type","month"
"Apr","AS","next period","May"
"Apr","AS","previous period","Mar"
"Apr","AS","type","month"
"May","AS","next period","Jun"
"May","AS","previous period","Apr"
"May","AS","type","month"
"Jun","AS","previous period","May"
"Jun","AS","type","month"
