"outcome","AS","PickList","subset:outcome:all-n"
"appropriation item","AS","PickList","subset:appropriation item:sys_all-n"
"parameter","AS","PickList","subset:index:sys_all-n"
"efficiency dividend","AS","PickList","static:N:Y"
"non-cash","AS","PickList","static:N:Y"
"control type","AS","PickList","static:Administered:Departmental:SPP:Contingency Reserve"
"Generate WCI","AS","PickList","static:N:Y"
"Generate ED","AS","PickList","static:N:Y"
"Generate FE3","AS","PickList","static:N:Y"
"default account template","AS","PickList","subset:account template:all-n"
"default favourite template","AS","PickList","subset:favourites_id:sys_all-n"
"Generate parameter pack","AS","PickList","static:N:Y"
"ME balance sheet template","AS","PickList","subset:account template:sys_ME_Account Template"
