"1080.01.BAL","AA","Code and Description","1080.01.BAL -"
"1080.01.BAL","AS","Old Order","1080.01.BAL"
"1080.01.01","AA","DAFF Original","437001"
"1080.01.01","AA","Description","Sustainable Rural Water Use & Infrastructure Programme (SRWUIP) Bill 1"
"1080.01.01","AA","Code and Description","1080.01.01 - Sustainable Rural Water Use & Infrastructure Programme (SRWUIP) Bill 1"
"1080.01.01","AS","Old Order","1080.01.01"
"1080.01.02","AA","DAFF Original","437003"
"1080.01.02","AA","Description","Sustainable Rural Water Use & Infrastructure Programme (SRWUIP) Bill1 - Purchasing"
"1080.01.02","AA","Code and Description","1080.01.02 - Sustainable Rural Water Use & Infrastructure Programme (SRWUIP) Bill1 - Purchasing"
"1080.01.02","AS","Old Order","1080.01.02"
"1080.01.03","AA","DAFF Original","437026"
"1080.01.03","AA","Description","Sustainable Rural Water Use & Infrastructure Programme (SRWUIP) Bill 1 Asset Transfer"
"1080.01.03","AA","Code and Description","1080.01.03 - Sustainable Rural Water Use & Infrastructure Programme (SRWUIP) Bill 1 Asset Transfer"
"1080.01.03","AS","Old Order","1080.01.03"
"1080.01.04","AA","DAFF Original","000625"
"1080.01.04","AA","Description","Sustainable Rural Water Use & Infrastructure Programme (SRWUIP) - Healthy Rivers - Healthy Communities"
"1080.01.04","AA","Code and Description","1080.01.04 - Sustainable Rural Water Use & Infrastructure Programme (SRWUIP) - Healthy Rivers - Healthy Communities"
"1080.01.04","AS","Old Order","1080.01.04"
"1080.02.01","AA","DAFF Original","437007"
"1080.02.01","AA","Description","Commonwealth Contribution under the Murray-Darling Basin Agreement (CCMDBA) Bill1 - Joint Activity"
"1080.02.01","AA","Code and Description","1080.02.01 - Commonwealth Contribution under the Murray-Darling Basin Agreement (CCMDBA) Bill1 - Joint Activity"
"1080.02.01","AS","Old Order","1080.03.01"
"1080.02.02","AA","DAFF Original","000613"
"1080.02.02","AA","Description","Hume Dam Irrigation Outlet Renewal Works."
"1080.02.02","AA","Code and Description","1080.02.02 - Hume Dam Irrigation Outlet Renewal Works."
"1080.02.02","AS","Old Order","1080.03.02"
"1080.03.01","AA","DAFF Original","437008"
"1080.03.01","AA","Description","River Murray Operations & Living Murray Initiative (NO APP) - River Murray Operations point Operation"
"1080.03.01","AA","Code and Description","1080.03.01 - River Murray Operations & Living Murray Initiative (NO APP) - River Murray Operations point Operation"
"1080.03.01","AS","Old Order","1080.04.01"
"1080.03.02","AA","DAFF Original","437009"
"1080.03.02","AA","Description","River Murray Operations & Living Murray Initiative (NO APP) - Livining Murray Initiative Joint Operation"
"1080.03.02","AA","Code and Description","1080.03.02 - River Murray Operations & Living Murray Initiative (NO APP) - Livining Murray Initiative Joint Operation"
"1080.03.02","AS","Old Order","1080.04.02"
"1080.04.01","AA","DAFF Original","437011"
"1080.04.01","AA","Description","Water for the Environment Special Account (Transferred from Sp App) - Constraints Management (SPP706)"
"1080.04.01","AA","Code and Description","1080.04.01 - Water for the Environment Special Account (Transferred from Sp App) - Constraints Management (SPP706)"
"1080.04.01","AS","Old Order","1080.05.01"
"1080.04.02","AA","DAFF Original","437012"
"1080.04.02","AA","Description","Water for the Environment Special Account (Transferred from Sp App) - Efficiency Measures"
"1080.04.02","AA","Code and Description","1080.04.02 - Water for the Environment Special Account (Transferred from Sp App) - Efficiency Measures"
"1080.04.02","AS","Old Order","1080.05.02"
"1080.05.01","AA","DAFF Original","437014"
"1080.05.01","AA","Description","Water Efficiency Labelling & Standards Special Account (WELS)"
"1080.05.01","AA","Code and Description","1080.05.01 - Water Efficiency Labelling & Standards Special Account (WELS)"
"1080.05.01","AS","Old Order","1080.06.01"
"1080.06.01","AA","DAFF Original","437017"
"1080.06.01","AA","Description","Water Division Administered Receipts (NO APP) - Water Division Administered Receipts"
"1080.06.01","AA","Code and Description","1080.06.01 - Water Division Administered Receipts (NO APP) - Water Division Administered Receipts"
"1080.06.01","AS","Old Order","1080.07.01"
"1080.06.02","AA","DAFF Original","437018"
"1080.06.02","AA","Description","Water Resources Special Account - Great Artesian Basin Coodinating Committee"
"1080.06.02","AA","Code and Description","1080.06.02 - Water Resources Special Account - Great Artesian Basin Coodinating Committee"
"1080.06.02","AS","Old Order","1080.07.02"
"1080.06.03","AA","DAFF Original","100001"
"1080.06.03","AA","Description","Water Quality Guidelines Improvement Program"
"1080.06.03","AA","Code and Description","1080.06.03 - Water Quality Guidelines Improvement Program"
"1080.06.03","AS","Old Order","1080.07.03"
"1080.07.01","AA","DAFF Original","437002"
"1080.07.01","AA","Description","Water Act 2007 (Sp App)"
"1080.07.01","AA","Code and Description","1080.07.01 - Water Act 2007 (Sp App)"
"1080.07.01","AS","Old Order","1080.08.01"
"1080.07.02","AA","DAFF Original","437004"
"1080.07.02","AA","Description","Sustainable Rural Water Use & Infrastructure Programme (SRWUIP) Bill2 - Purchasing"
"1080.07.02","AA","Code and Description","1080.07.02 - Sustainable Rural Water Use & Infrastructure Programme (SRWUIP) Bill2 - Purchasing"
"1080.07.02","AS","Old Order","1080.08.02"
"1080.08.01","AA","DAFF Original","437006"
"1080.08.01","AA","Description","National Urban Water & Desalination Plan (NUWDP) Bill2 (LGA039)"
"1080.08.01","AA","Code and Description","1080.08.01 - National Urban Water & Desalination Plan (NUWDP) Bill2 (LGA039)"
"1080.08.01","AS","Old Order","1080.09.01"
"1080.09.01","AA","DAFF Original","437019"
"1080.09.01","AA","Description","Sewerage Agreement Loans Bill 2"
