"-","AA","code and description","-"
"SPP1019","AA","description","Resilient Rivers Water Infrastucture Program"
"SPP1019","AA","code and description","SPP1019 - Resilient Rivers Water Infrastucture Program"
"SPP1024","AA","description","Sustainable Communities Program"
"SPP1024","AA","code and description","SPP1024 - Sustainable Communities Program"
"SPP127","AA","description","Great Artesian Basin Sustainability Initiative"
"SPP127","AA","code and description","SPP127 - Great Artesian Basin Sustainability Initiative"
"SPP533","AA","description","Sustainable Rural Water Use and Infrastructure"
"SPP533","AA","code and description","SPP533 - Sustainable Rural Water Use and Infrastructure"
"SPP632","AA","description","Implementing Water Reform in the Murray-Darling Basin"
"SPP632","AA","code and description","SPP632 - Implementing Water Reform in the Murray-Darling Basin"
"SPP752","AA","description","World Heritage sites - management"
"SPP752","AA","code and description","SPP752 - World Heritage sites - management"
"SPP754","AA","description","Hydrogen Energy Supply Chain Pilot Project"
"SPP754","AA","code and description","SPP754 - Hydrogen Energy Supply Chain Pilot Project"
"SPP776","AA","description","On-Farm Emergency Water Infrastructure Rebate Scheme"
"SPP776","AA","code and description","SPP776 - On-Farm Emergency Water Infrastructure Rebate Scheme"
"SPP789","AA","description","MarinusLink"
"SPP789","AA","code and description","SPP789 - MarinusLink"
"SPP790","AA","description","Yellow Crazy Ants Control"
"SPP790","AA","code and description","SPP790 - Yellow Crazy Ants Control"
"SPP827","AA","description","Recycling Infrastructure"
"SPP827","AA","code and description","SPP827 - Recycling Infrastructure"
"SPP845","AA","description","Environment Restoration Fund"
"SPP845","AA","code and description","SPP845 - Environment Restoration Fund"
"SPP860","AA","description","National Water Grid Fund"
"SPP860","AA","code and description","SPP860 - National Water Grid Fund"
"SPP877","AA","description","Hydro Tasmania's Tarraleah Hydro Power Station Redevelopment"
"SPP877","AA","code and description","SPP877 - Hydro Tasmania's Tarraleah Hydro Power Station Redevelopment"
"SPP893","AA","description","Transforming Digital Environmental Assessment"
"SPP893","AA","code and description","SPP893 - Transforming Digital Environmental Assessment"
"SPP899","AA","description","CarbonNet"
"SPP899","AA","code and description","SPP899 - CarbonNet"
"SPP903","AA","description","RMF - Plastics Technology Stream"
"SPP903","AA","code and description","SPP903 - RMF - Plastics Technology Stream"
"SPP915","AA","description","Food Waste for Healthy Soils Fund"
"SPP915","AA","code and description","SPP915 - Food Waste for Healthy Soils Fund"
"SPP927","AA","description","Delivering Stronger Paddock to Reef Monitoring"
"SPP927","AA","code and description","SPP927 - Delivering Stronger Paddock to Reef Monitoring"
"SPP928","AA","description","Urban Rivers and Catchments Program"
"SPP928","AA","code and description","SPP928 - Urban Rivers and Catchments Program"
"SPP930","AA","description","Sustainable Fisheries"
"SPP930","AA","code and description","SPP930 - Sustainable Fisheries"
"SPP931","AA","description","Community Solar Banks Program"
"SPP931","AA","code and description","SPP931 - Community Solar Banks Program"
"SPP945","AA","description","Improving compliance in the Murray-Darling Basin"
"SPP945","AA","code and description","SPP945 - Improving compliance in the Murray-Darling Basin"
"SPP946","AA","description","Marine Parks Management - NT Marine Parks"
"SPP946","AA","code and description","SPP946 - Marine Parks Management - NT Marine Parks"
"SPP947","AA","description","Investing in Australia's Indigenous Culture World Heritage"
"SPP947","AA","code and description","SPP947 - Investing in Australia's Indigenous Culture World Heritage"
"SPP951","AA","description","Hydrogen Highways"
"SPP951","AA","code and description","SPP951 - Hydrogen Highways"
"SPP954","AA","description","Energy Price Relief Plan – coal price cap"
"SPP954","AA","code and description","SPP954 - Energy Price Relief Plan – coal price cap"
"SPP971","AA","description","Capacity Investment Mechanism"
"SPP971","AA","code and description","SPP971 - Capacity Investment Mechanism"
"SPP1007","AA","description","Household Energy Upgrades Fund (SHEPI)"
"SPP1007","AA","code and description","SPP1007 - Household Energy Upgrades Fund (SHEPI)"
"SPP1012","AA","description","Saving Native Species Program"
"SPP1012","AA","code and description","SPP1012 - Saving Native Species Program"
"SPP1020","AA","description","Improving health and environmental outcomes for the Upper Murrumbidgee - Capital"
"SPP1020","AA","code and description","SPP1020 - Improving health and environmental outcomes for the Upper Murrumbidgee - Capital"
"SPP1051","AA","description","National Hydrogen Technology Skills Training Centre"
"SPP1051","AA","code and description","SPP1051 - National Hydrogen Technology Skills Training Centre"
"SPP1060","AA","description","Macquarie Wharf 6 (Port of Hobart)"
"SPP1060","AA","code and description","SPP1060 - Macquarie Wharf 6 (Port of Hobart)"
"SPP1021","AA","description","Improving health and environmental outcomes for the Upper Murrumbidgee - Current"
"SPP1021","AA","code and description","SPP1020 - Improving health and environmental outcomes for the Upper Murrumbidgee - Current"
"SPP1078","AA","description","Household Energy Upgrades Fund Extension (SHEPI Expansion)"
"SPP1078","AA","code and description","SPP1078 - Household Energy Upgrades Fund Extension (SHEPI Expansion)"
