"Homepage - Home","AA","Navigation Search","Navigate Home"
"Homepage - Home","AS","Active Navigation Flag","Y"
"Homepage - Administration","AA","Navigation Search","Navigate to the Administration Menu"
"Adjustment - ID List","AA","Navigation Search","Navigate to the adjustment list"
"Adjustment - ID List","AS","Active Navigation Flag","Y"
"Data Entry - New Adj 01 - Header Details","AA","Navigation Search","Create New Manual Adjustment"
"Reports - AE Report","AA","Navigation Search","Navigate to the Annual Estimates Reports"
"Reports - AE Report","AS","Active Navigation Flag","Y"
"Reports - Primary Financial Statements","AA","Navigation Search","Navigate to the Primary Financial Statements"
"Reports - Primary Financial Statements","AS","Active Navigation Flag","Y"
