"1079.01.BALTotal outcomes","AS","ID","00279"
"1079.01.BALTotal outcomes","AS","Program","1079.01.BAL"
"1079.01.BALTotal outcomes","AS","Appropriation Type","Total approp types"
"1079.01.BALTotal outcomes","AS","Function","Total functions"
"1079.01.01Total outcomes","AS","ID","00280"
"1079.01.01Total outcomes","AS","Program","1079.01.01"
"1079.01.01Total outcomes","AS","Appropriation Type","Total approp types"
"1079.01.01Total outcomes","AS","Function","Total functions"
"1079.01.02Total outcomes","AS","ID","00281"
"1079.01.02Total outcomes","AS","Program","1079.01.02"
"1079.01.02Total outcomes","AS","Appropriation Type","Total approp types"
"1079.01.02Total outcomes","AS","Function","Total functions"
"1079.01.04Total outcomes","AS","ID","00282"
"1079.01.04Total outcomes","AS","Program","1079.01.04"
"1079.01.04Total outcomes","AS","Appropriation Type","Total approp types"
"1079.01.04Total outcomes","AS","Function","Total functions"
"1079.01.05Total outcomes","AS","ID","00283"
"1079.01.05Total outcomes","AS","Program","1079.01.05"
"1079.01.05Total outcomes","AS","Appropriation Type","Total approp types"
"1079.01.05Total outcomes","AS","Function","Total functions"
"1079.01.06Total outcomes","AS","ID","00284"
"1079.01.06Total outcomes","AS","Program","1079.01.06"
"1079.01.06Total outcomes","AS","Appropriation Type","Total approp types"
"1079.01.06Total outcomes","AS","Function","Total functions"
"1079.01.07Total outcomes","AS","ID","00285"
"1079.01.07Total outcomes","AS","Program","1079.01.07"
"1079.01.07Total outcomes","AS","Appropriation Type","Total approp types"
"1079.01.07Total outcomes","AS","Function","Total functions"
"1079.01.08Total outcomes","AS","ID","00286"
"1079.01.08Total outcomes","AS","Program","1079.01.08"
"1079.01.08Total outcomes","AS","Appropriation Type","Total approp types"
"1079.01.08Total outcomes","AS","Function","Total functions"
"1079.01.09Total outcomes","AS","ID","00287"
"1079.01.09Total outcomes","AS","Program","1079.01.09"
"1079.01.09Total outcomes","AS","Appropriation Type","Total approp types"
"1079.01.09Total outcomes","AS","Function","Total functions"
"1079.01.10Total outcomes","AS","ID","00288"
"1079.01.10Total outcomes","AS","Program","1079.01.10"
"1079.01.10Total outcomes","AS","Appropriation Type","Total approp types"
"1079.01.10Total outcomes","AS","Function","Total functions"
"1079.01.12Total outcomes","AS","ID","00289"
"1079.01.12Total outcomes","AS","Program","1079.01.12"
"1079.01.12Total outcomes","AS","Appropriation Type","Total approp types"
"1079.01.12Total outcomes","AS","Function","Total functions"
"1079.01.13Total outcomes","AS","ID","00290"
"1079.01.13Total outcomes","AS","Program","1079.01.13"
"1079.01.13Total outcomes","AS","Appropriation Type","Total approp types"
"1079.01.13Total outcomes","AS","Function","Total functions"
"1079.01.14Total outcomes","AS","ID","00291"
"1079.01.14Total outcomes","AS","Program","1079.01.14"
"1079.01.14Total outcomes","AS","Appropriation Type","Total approp types"
"1079.01.14Total outcomes","AS","Function","Total functions"
"1079.01.15Total outcomes","AS","ID","00292"
"1079.01.15Total outcomes","AS","Program","1079.01.15"
"1079.01.15Total outcomes","AS","Appropriation Type","Total approp types"
"1079.01.15Total outcomes","AS","Function","Total functions"
"1079.01.17Total outcomes","AS","ID","00293"
"1079.01.17Total outcomes","AS","Program","1079.01.17"
"1079.01.17Total outcomes","AS","Appropriation Type","Total approp types"
"1079.01.17Total outcomes","AS","Function","Total functions"
"1079.01.18Total outcomes","AS","ID","00294"
"1079.01.18Total outcomes","AS","Program","1079.01.18"
"1079.01.18Total outcomes","AS","Appropriation Type","Total approp types"
"1079.01.18Total outcomes","AS","Function","Total functions"
"1079.01.19Total outcomes","AS","ID","00295"
"1079.01.19Total outcomes","AS","Program","1079.01.19"
"1079.01.19Total outcomes","AS","Appropriation Type","Total approp types"
"1079.01.19Total outcomes","AS","Function","Total functions"
"1079.01.20Total outcomes","AS","ID","00296"
"1079.01.20Total outcomes","AS","Program","1079.01.20"
"1079.01.20Total outcomes","AS","Appropriation Type","Total approp types"
"1079.01.20Total outcomes","AS","Function","Total functions"
